route,type,html_exists,canonical,canonical_ok,robots,robots_ok,h1_count,h1,v2_shell,design_lab_links,duplicate_ids,broken_media,status,notes
/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/,true,"index, follow",true,1,Скамья Капсула,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/,true,"index, follow",true,1,Скамья Контур,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/,true,"index, follow",true,1,Скамья Линия со спинками,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/,true,"index, follow",true,1,Скамья Линия,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/,true,"index, follow",true,1,Скамья Лофт,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/,true,"index, follow",true,1,Скамья Парк,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/,true,"index, follow",true,1,Скамья Плато,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/,true,"index, follow",true,1,Скамья Подиум,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/,true,"index, follow",true,1,Скамья Радиус со спинками,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/,true,"index, follow",true,1,Скамья Радиус,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/,true,"index, follow",true,1,Скамья Рейка,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/,true,"index, follow",true,1,Скамья Скоба,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/,true,"index, follow",true,1,Скамья СМУ-1 Базовая,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/,true,"index, follow",true,1,Скамья Волна,true,0,0,0,pass,
/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/,product,true,/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/,true,"index, follow",true,1,Станция раздельного сбора,true,0,0,0,pass,
