kind,sequence,source_route,target_route,route_type,viewport,initial_scroll_y,final_scroll_y,expected_scroll_y,hash,history_action,status,notes
direct,85,,/ulichnaya-mebel/urny/urna-layn/,product,1440x900,0,0,0,,,pass,after-media=0
direct,86,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/,product,1440x900,0,0,0,,,pass,after-media=0
direct,87,,/ulichnaya-mebel/urny/urna-slim/,product,1440x900,0,0,0,,,pass,after-media=0
direct,88,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/,product,1440x900,0,0,0,,,pass,after-media=0
direct,89,,/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/,product,1440x900,0,0,0,,,pass,after-media=0
direct,90,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/,product,1440x900,0,0,0,,,pass,after-media=0
direct,91,,/ulichnaya-mebel/urny/urna-ellips/,product,1440x900,0,0,0,,,pass,after-media=0
direct,92,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/,product,1440x900,0,0,0,,,pass,after-media=0
direct,93,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/,product,1440x900,0,0,0,,,pass,after-media=0
direct,94,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/,product,1440x900,0,0,0,,,pass,after-media=0
direct,95,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/,product,1440x900,0,0,0,,,pass,after-media=0
direct,96,,/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/,product,1440x900,0,0,0,,,pass,after-media=0
direct,97,,/vypolnennye-obekty/,projects-archive,1440x900,0,0,0,,,pass,after-media=0
direct,98,,/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,project,1440x900,0,0,0,,,pass,after-media=0
direct,99,,/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/,project,1440x900,0,0,0,,,pass,after-media=0
direct,100,,/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,project,1440x900,0,0,0,,,pass,after-media=0
direct,101,,/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,project,1440x900,0,0,0,,,pass,after-media=0
direct,102,,/o-nas/,company,1440x900,0,0,0,,,pass,after-media=0
direct,103,,/kontakty/,contacts,1440x900,0,0,0,,,pass,after-media=0
direct,104,,/vakansii/,vacancies,1440x900,0,0,0,,,pass,after-media=0
direct,105,,/vakansii/svarshchik-metallokonstruktsiy/,vacancy,1440x900,0,0,0,,,pass,after-media=0
direct,106,,/politika-konfidencialnosti/,privacy,1440x900,0,0,0,,,pass,after-media=0
direct,107,,/izgotovlenie-na-zakaz/,custom-order,1440x900,0,0,0,,,pass,after-media=0
click,1,/,/metallokonstruktsii-dlya-biznesa/,direction,1440x900,306,0,0,,,pass,Металлоконструкции ↗ | /metallokonstruktsii-dlya-biznesa/
click,2,/metallokonstruktsii-dlya-biznesa/,/blagoustroystvo-territoriy/,direction,1440x900,5667,0,0,,,pass,Благоустройство | /blagoustroystvo-territoriy/
click,3,/blagoustroystvo-territoriy/,/stroitelstvo-i-remonty/,direction,1440x900,5357,0,0,,,pass,"Более широкий комплексСтроительно-монтажные работыДля задачи, где главным результатом становится готовый или преобразова | /stroitelstvo-i-remonty/"
click,4,/stroitelstvo-i-remonty/,/navesy-i-kozyrki/,direction,1440x900,5024,0,0,,,pass,"Входные и хозяйственные зоныНавесы и козырькиНавесы для входных групп, зон ожидания, велопарковок, контейнерных площадок | /navesy-i-kozyrki/"
click,5,/navesy-i-kozyrki/,/topiarii/,direction,1440x900,5598,0,0,,,pass,Топиарии | /topiarii/
click,6,/topiarii/,/ulichnaya-mebel/,direction,1440x900,4529,0,0,,,pass,Уличная мебель | /ulichnaya-mebel/
click,7,/ulichnaya-mebel/,/ulichnaya-mebel/kacheli/,category,1440x900,1885,0,0,,,pass,Фотоматериалы не указаны    6 опубликованных изделий Качели  Открыть категорию ↗ | /ulichnaya-mebel/kacheli/
click,8,/ulichnaya-mebel/kacheli/,/ulichnaya-mebel/kacheli/kachel-duga/,product,1440x900,932,0,0,,,pass,"Фото не указано    Стальной каркас Качель Дуга Уличная качель с деревянной лавкой, навесом и металлическим каркасом.  Це | /ulichnaya-mebel/kacheli/kachel-duga/"
click,9,/ulichnaya-mebel/kacheli/kachel-duga/,/ulichnaya-mebel/kacheli/,category,1440x900,0,0,0,,,pass,Качели | /ulichnaya-mebel/kacheli/
click,10,/ulichnaya-mebel/kacheli/,/ulichnaya-mebel/,direction,1440x900,0,0,0,,,pass,Уличная мебель | /ulichnaya-mebel/
click,11,/ulichnaya-mebel/,/ograzhdeniya-i-zabory/,direction,1440x900,3747,0,0,,,pass,Ограждения | /ograzhdeniya-i-zabory/
click,12,/ograzhdeniya-i-zabory/,/ograzhdeniya-i-zabory/zabory/,category,1440x900,1146,0,0,,,pass,"Фотоматериалы не указаны    Изготовление по задаче Заборы Ограждения периметра для частных, коммерческих и производствен | /ograzhdeniya-i-zabory/zabory/"
click,13,/ograzhdeniya-i-zabory/zabory/,/izgotovlenie-na-zakaz/,custom-order,1440x900,2109,0,0,,,pass,Изготовление на заказ | /izgotovlenie-na-zakaz/
click,14,/izgotovlenie-na-zakaz/,/vypolnennye-obekty/,projects-archive,1440x900,4097,0,0,,,pass,Объекты | /vypolnennye-obekty/
click,15,/vypolnennye-obekty/,/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,project,1440x900,584,0,0,,,pass,Открыть объект ↗ | /vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/
click,16,/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,/vypolnennye-obekty/,projects-archive,1440x900,0,0,0,,,pass,Выполненные объекты | /vypolnennye-obekty/
click,17,/vypolnennye-obekty/,/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,project,1440x900,584,0,0,,,pass,Открыть объект ↗ | /vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/
click,18,/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,/kontakty/,contacts,1440x900,3066,0,0,,,pass,"Все контактыул. Промышленная, 17, Курган↗ | /kontakty/"
click,19,/kontakty/,/vakansii/,vacancies,1440x900,619,0,0,,,pass,Вакансии ↗ | /vakansii/
click,20,/vakansii/,/politika-konfidencialnosti/,privacy,1440x900,429,0,0,,,pass,Политика конфиденциальности | /politika-konfidencialnosti/
click,21,/politika-konfidencialnosti/,/,home,1440x900,0,0,0,,,pass,Главная | /
click,22,/,/izgotovlenie-na-zakaz/,custom-order,1440x900,4988,0,0,,,pass,Изготовление на заказ ↗ | /izgotovlenie-na-zakaz/
click,23,/izgotovlenie-na-zakaz/,/navesy-i-kozyrki/,direction,1440x900,1628,0,0,,,pass,"03 Навесы и козырькиДля входных групп, зон ожидания, велопарковок и хозяйственных площадок. ↗ | /navesy-i-kozyrki/"
click,24,/navesy-i-kozyrki/,/kontakty/,contacts,1440x900,5283,0,0,,,pass,"Все контактыул. Промышленная, 17, Курган↗ | /kontakty/"
history,1,/kontakty/,/o-nas/,company,1440x900,0,4468,4468,,back,pass,native restoration tolerance 32px; source click scroll=4468
history,2,/o-nas/,/kontakty/,contacts,1440x900,4468,0,0,,forward,pass,native forward restoration tolerance 4px
hash,1,/ulichnaya-mebel/kacheli/kachel-duga/,/ulichnaya-mebel/kacheli/kachel-duga/#contact,product,1440x900,122,3282,anchor,#contact,click,pass,targetTop=157.765625; targetBottom=755.96875
hash,2,/ulichnaya-mebel/kacheli/kachel-duga/#contact,/ulichnaya-mebel/kacheli/kachel-duga/,product,1440x900,3282,122,122,,back,pass,remove hash via native Back; restoration tolerance 32px; source click scroll=122
hash,3,/ulichnaya-mebel/kacheli/kachel-duga/,/ulichnaya-mebel/kacheli/kachel-duga/#contact,product,1440x900,122,3282,anchor,#contact,forward,pass,restore hash via native Forward; targetTop=157.765625; targetBottom=755.96875
hash,4,,/ulichnaya-mebel/kacheli/kachel-duga/#contact,product,1440x900,,3282,anchor,#contact,direct,pass,targetTop=157.765625; targetBottom=755.96875
