route,route_type,mode,viewport,reveal_count,immersive_stage_count,rendered_count,pending_count,opacity_zero_count,hidden_count,scroll_before,scroll_after,reduced_motion,scroll_behavior,status,notes
/ulichnaya-mebel/veloparkovki/veloparkovka-duga/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/kacheli/kachel-s-navesom/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-blok/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/shezlongi/shezlong-siluet/,product,normal-final,1440x900,18,0,18,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-kolonna/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/kacheli/kachel-patio/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-profil/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-layn/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-kapsula/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-slim/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-plato/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/stantsiya-razdelnogo-sbora/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-podium/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-ellips/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-skoba/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-park/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-reyka/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/bolshaya-skameyka-amplituda/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/vypolnennye-obekty/,projects-archive,normal-final,1440x900,8,0,8,0,0,0,0,0,false,smooth,pass,
/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,project,normal-final,1440x900,12,0,12,0,0,0,0,0,false,smooth,pass,
/vypolnennye-obekty/remont-skvera-na-ulitse-gogolya/,project,normal-final,1440x900,8,0,8,0,0,0,0,0,false,smooth,pass,
/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,project,normal-final,1440x900,11,0,11,0,0,0,0,0,false,smooth,pass,
/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,project,normal-final,1440x900,10,0,10,0,0,0,0,0,false,smooth,pass,
/o-nas/,company,normal-final,1440x900,24,0,24,0,0,0,0,0,false,smooth,pass,
/kontakty/,contacts,normal-final,1440x900,15,0,15,0,0,0,0,0,false,smooth,pass,
/vakansii/,vacancies,normal-final,1440x900,3,0,3,0,0,0,0,0,false,smooth,pass,
/vakansii/svarshchik-metallokonstruktsiy/,vacancy,normal-final,1440x900,7,0,7,0,0,0,0,0,false,smooth,pass,
/politika-konfidencialnosti/,privacy,normal-final,1440x900,2,0,2,0,0,0,0,0,false,smooth,pass,
/izgotovlenie-na-zakaz/,custom-order,normal-final,1440x900,20,0,20,0,0,0,0,0,false,smooth,pass,
/,home,reduced-initial,1440x900,22,0,22,0,0,0,0,0,true,auto,pass,
/metallokonstruktsii-dlya-biznesa/,direction,reduced-initial,1440x900,26,6,26,0,0,0,0,0,true,auto,pass,
/blagoustroystvo-territoriy/,direction,reduced-initial,1440x900,31,6,31,0,0,0,0,0,true,auto,pass,
/stroitelstvo-i-remonty/,direction,reduced-initial,1440x900,30,6,30,0,0,0,0,0,true,auto,pass,
/navesy-i-kozyrki/,direction,reduced-initial,1440x900,28,6,28,0,0,0,0,0,true,auto,pass,
/topiarii/,direction,reduced-initial,1440x900,24,6,24,0,0,0,0,0,true,auto,pass,
/ulichnaya-mebel/,direction,reduced-initial,1440x900,21,0,21,0,0,0,0,0,true,auto,pass,
/ulichnaya-mebel/kacheli/,category,reduced-initial,1440x900,16,0,16,0,0,0,0,0,true,auto,pass,
/ulichnaya-mebel/kacheli/kachel-duga/,product,reduced-initial,1440x900,19,0,19,0,0,0,0,0,true,auto,pass,
/vypolnennye-obekty/,projects-archive,reduced-initial,1440x900,8,0,8,0,0,0,0,0,true,auto,pass,
/o-nas/,company,reduced-initial,1440x900,24,0,24,0,0,0,0,0,true,auto,pass,
/kontakty/,contacts,reduced-initial,1440x900,15,0,15,0,0,0,0,0,true,auto,pass,
/vakansii/,vacancies,reduced-initial,1440x900,3,0,3,0,0,0,0,0,true,auto,pass,
/izgotovlenie-na-zakaz/,custom-order,reduced-initial,1440x900,20,0,20,0,0,0,0,0,true,auto,pass,
/politika-konfidencialnosti/,privacy,reduced-initial,1440x900,2,0,2,0,0,0,0,0,true,auto,pass,
